"","PUMA","WEIGHT","PUMA100","PUMACAT"
"1",100,53488,10000,0
"2",200,98655,20000,0
"3",300,69928,30000,0
"4",401,58438,40100,1
"5",402,72572,40200,2
"6",403,57453,NA,NA
"7",500,75966,NA,NA
"8",600,54734,NA,NA
"9",701,71806,NA,NA
"10",702,54064,NA,NA
"11",703,68646,NA,NA
"12",704,52470,NA,NA
"13",800,58335,NA,NA
"14",901,60046,NA,NA
"15",902,54792,NA,NA
"16",903,45811,NA,NA
"17",904,56566,NA,NA
"18",905,41436,NA,NA
"19",906,71611,NA,NA
"20",1000,44484,NA,NA
"21",1101,53530,NA,NA
"22",1102,47174,NA,NA
"23",1201,50588,NA,NA
"24",1202,54581,NA,NA
"25",1203,48884,NA,NA
"26",1204,72204,NA,NA
"27",1205,70123,NA,NA
"28",1206,56612,NA,NA
"29",1207,77740,NA,NA
"30",1300,46134,NA,NA
"31",1400,65646,NA,NA
"32",1500,53339,NA,NA
"33",1600,52720,NA,NA
"34",1700,70111,NA,NA
"35",1801,53204,NA,NA
"36",1802,55092,NA,NA
"37",1900,73431,NA,NA
"38",2001,55321,NA,NA
"39",2002,87563,NA,NA
"40",2100,63492,NA,NA
"41",2201,59679,NA,NA
"42",2202,48389,NA,NA
"43",2203,63557,NA,NA
"44",2300,44633,NA,NA
"45",2401,45930,NA,NA
"46",2402,52460,NA,NA
"47",2500,68169,NA,NA
"48",2600,67779,NA,NA
"49",2701,71952,NA,NA
"50",2702,64940,NA,NA
"51",2801,55488,NA,NA
"52",2802,66059,NA,NA
"53",2901,48396,NA,NA
"54",2902,50849,NA,NA
"55",2903,45972,NA,NA
"56",3001,39187,NA,NA
"57",3002,38045,NA,NA
"58",3003,29759,NA,NA
"59",3101,40134,NA,NA
"60",3102,58433,NA,NA
"61",3103,48957,NA,NA
"62",3104,42211,NA,NA
"63",3105,67425,NA,NA
"64",3106,78948,NA,NA
"65",3107,79866,NA,NA
"66",3201,43607,NA,NA
"67",3202,41572,NA,NA
"68",3203,38718,NA,NA
"69",3204,40190,NA,NA
"70",3205,36295,NA,NA
"71",3206,46421,NA,NA
"72",3207,37650,NA,NA
"73",3208,37498,NA,NA
"74",3209,34679,NA,NA
"75",3210,39428,NA,NA
"76",3211,37111,NA,NA
"77",3212,40958,NA,NA
"78",3301,37056,NA,NA
"79",3302,35034,NA,NA
"80",3303,43071,NA,NA
"81",3304,38930,NA,NA
"82",3305,104983,NA,NA
"83",3306,53945,NA,NA
"84",3307,46111,NA,NA
"85",3308,37765,NA,NA
"86",3309,37258,NA,NA
"87",3310,34312,NA,NA
"88",3311,38058,NA,NA
"89",3312,35270,NA,NA
"90",3313,35677,NA,NA
"91",3701,43681,NA,NA
"92",3702,52461,NA,NA
"93",3703,48074,NA,NA
"94",3704,47069,NA,NA
"95",3705,66971,NA,NA
"96",3706,53228,NA,NA
"97",3707,47934,NA,NA
"98",3708,51757,NA,NA
"99",3709,69579,NA,NA
"100",3710,56443,NA,NA
"101",3801,81726,NA,NA
"102",3802,54000,NA,NA
"103",3803,63719,NA,NA
"104",3804,56147,NA,NA
"105",3805,132933,NA,NA
"106",3806,118000,NA,NA
"107",3807,111154,NA,NA
"108",3808,95811,NA,NA
"109",3809,83942,NA,NA
"110",3810,95498,NA,NA
"111",3901,59681,NA,NA
"112",3902,50727,NA,NA
"113",3903,71357,NA,NA
"114",4001,69661,NA,NA
"115",4002,53654,NA,NA
"116",4003,61818,NA,NA
"117",4004,69023,NA,NA
"118",4005,50019,NA,NA
"119",4006,60403,NA,NA
"120",4007,55188,NA,NA
"121",4008,71022,NA,NA
"122",4009,77372,NA,NA
"123",4010,58600,NA,NA
"124",4011,48952,NA,NA
"125",4012,45983,NA,NA
"126",4013,53435,NA,NA
"127",4014,48050,NA,NA
"128",4015,60160,NA,NA
"129",4016,62863,NA,NA
"130",4017,68574,NA,NA
"131",4018,50586,NA,NA
"132",4101,90017,NA,NA
"133",4102,65006,NA,NA
"134",4103,98172,NA,NA
"135",4104,45961,NA,NA
"136",4105,65210,NA,NA
"137",4106,61550,NA,NA
"138",4107,48372,NA,NA
"139",4108,53881,NA,NA
"140",4109,64250,NA,NA
"141",4110,64322,NA,NA
"142",4111,46788,NA,NA
"143",4112,80826,NA,NA
"144",4113,40295,NA,NA
"145",4114,44696,NA,NA
